route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
WORCESTER PARK - EPSOM,2,STONELEIGH,EWELL WEST,stop,1.22,17.2,7,0
WORCESTER PARK - EPSOM,3,EWELL WEST,EPSOM,stop,1.36,42.6,8,0
WORCESTER PARK - GUILDFORD,1,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,3,0
WORCESTER PARK - GUILDFORD,2,STONELEIGH,EWELL WEST,stop,1.22,17.2,3,0
WORCESTER PARK - GUILDFORD,3,EWELL WEST,EPSOM,stop,1.36,42.6,3,0
WORCESTER PARK - GUILDFORD,4,EPSOM,ASHTEAD,stop,25.77,79.0,4,1
WORCESTER PARK - GUILDFORD,5,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
WORCESTER PARK - GUILDFORD,6,LEATHERHEAD,BOOKHAM,stop,2.74,39.8,6,0
WORCESTER PARK - GUILDFORD,7,BOOKHAM,EFFINGHAM JUNCTION,stop,1.72,17.6,3,0
WORCESTER PARK - GUILDFORD,8,EFFINGHAM JUNCTION,HORSLEY,stop,1.23,17.6,2,1
WORCESTER PARK - GUILDFORD,9,HORSLEY,CLANDON,stop,3.65,17.6,5,0
WORCESTER PARK - GUILDFORD,10,CLANDON,LONDON ROAD GUILDFORD,stop,3.57,17.8,5,0
WORCESTER PARK - GUILDFORD,11,LONDON ROAD GUILDFORD,GUILDFORD,stop,0.77,36.4,8,0
BALHAM - DORKING,1,BALHAM,MITCHAM EASTFIELDS,stop,2.82,16.9,7,0
BALHAM - DORKING,2,MITCHAM EASTFIELDS,MITCHAM JUNCTION,stop,1.19,17.0,3,0
BALHAM - DORKING,3,MITCHAM JUNCTION,HACKBRIDGE,stop,7.56,48.5,3,0
BALHAM - DORKING,4,HACKBRIDGE,CARSHALTON,stop,6.49,48.6,3,0
BALHAM - DORKING,5,CARSHALTON,SUTTON (SURREY),stop,1.31,17.2,4,0
BALHAM - DORKING,6,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,0
BALHAM - DORKING,7,CHEAM,EWELL EAST,stop,1.54,17.2,3,0
BALHAM - DORKING,8,EWELL EAST,EPSOM,stop,1.65,42.6,4,1
BALHAM - DORKING,9,EPSOM,ASHTEAD,stop,25.77,79.0,5,0
BALHAM - DORKING,10,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
BALHAM - DORKING,11,LEATHERHEAD,DORKING,stop,4.26,39.9,6,1
BALHAM - DORKING (2),1,BALHAM,MITCHAM EASTFIELDS,stop,2.82,16.9,7,0
BALHAM - DORKING (2),2,MITCHAM EASTFIELDS,MITCHAM JUNCTION,stop,1.19,17.0,3,0
BALHAM - DORKING (2),3,MITCHAM JUNCTION,HACKBRIDGE,stop,7.56,48.5,3,0
BALHAM - DORKING (2),4,HACKBRIDGE,CARSHALTON,stop,6.49,48.6,3,0
BALHAM - DORKING (2),5,CARSHALTON,SUTTON (SURREY),stop,1.31,17.2,4,0
BALHAM - DORKING (2),6,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,0
BALHAM - DORKING (2),7,CHEAM,EWELL EAST,stop,1.54,17.2,3,0
BALHAM - DORKING (2),8,EWELL EAST,EPSOM,stop,1.65,42.6,4,0
BALHAM - DORKING (2),9,EPSOM,ASHTEAD,stop,25.77,79.0,5,1
BALHAM - DORKING (2),10,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
BALHAM - DORKING (2),11,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0
BALHAM - DORKING (2),12,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,2,0
BALHAM - DORKING (3),1,BALHAM,SUTTON (SURREY),stop,6.86,17.0,16,0
BALHAM - DORKING (3),2,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,6
BALHAM - DORKING (3),3,CHEAM,EWELL EAST,stop,1.54,17.2,3,0
BALHAM - DORKING (3),4,EWELL EAST,EPSOM,stop,1.65,42.6,4,0
