route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
DORKING - STREATHAM HILL,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0
DORKING - STREATHAM HILL,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0
DORKING - STREATHAM HILL,3,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,4,1
DORKING - STREATHAM HILL,4,ASHTEAD,EPSOM,stop,25.77,79.0,4,0
DORKING - STREATHAM HILL,5,EPSOM,CHEAM,stop,3.19,42.6,5,1
DORKING - STREATHAM HILL,6,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0
DORKING - STREATHAM HILL,7,SUTTON (SURREY),CARSHALTON BEECHES,stop,1.02,17.2,3,0
DORKING - STREATHAM HILL,8,CARSHALTON BEECHES,WALLINGTON,stop,0.97,17.2,3,0
DORKING - STREATHAM HILL,9,WALLINGTON,WADDON,stop,1.8,17.2,3,0
DORKING - STREATHAM HILL,10,WADDON,WEST CROYDON,stop,2.71,27.6,3,0
DORKING - STREATHAM HILL,11,WEST CROYDON,NORWOOD JUNCTION,stop,4.97,27.5,5,1
DORKING - STREATHAM HILL,12,NORWOOD JUNCTION,CRYSTAL PALACE,stop,1.64,16.9,4,2
DORKING - STREATHAM HILL,13,CRYSTAL PALACE,GIPSY HILL,stop,0.81,16.9,2,1
DORKING - STREATHAM HILL,14,GIPSY HILL,WEST NORWOOD,stop,2.48,17.4,2,1
DORKING - STREATHAM HILL,15,WEST NORWOOD,STREATHAM HILL,stop,8.3,34.0,3,1
DORKING - SUTTON (SURREY),1,DORKING,BOXHILL BURFORD BRIDGE HOTEL,stop,,,5,0
DORKING - SUTTON (SURREY),2,BOXHILL BURFORD BRIDGE HOTEL,LEATHERHEAD,stop,,,10,0
DORKING - SUTTON (SURREY),3,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,11,0
DORKING - SUTTON (SURREY),4,ASHTEAD,EPSOM,stop,25.77,79.0,10,0
DORKING - SUTTON (SURREY),5,EPSOM,EWELL EAST,stop,1.65,42.6,9,0
DORKING - SUTTON (SURREY),6,EWELL EAST,CHEAM,stop,1.54,17.2,5,0
DORKING - SUTTON (SURREY),7,CHEAM,SUTTON (SURREY),stop,1.26,17.2,10,0
DORKING - WEST CROYDON,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0
DORKING - WEST CROYDON,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0
DORKING - WEST CROYDON,3,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,4,1
DORKING - WEST CROYDON,4,ASHTEAD,EPSOM,stop,25.77,79.0,4,0
DORKING - WEST CROYDON,5,EPSOM,CHEAM,stop,3.19,42.6,7,1
DORKING - WEST CROYDON,6,CHEAM,SUTTON (SURREY),stop,1.26,17.2,4,1
DORKING - WEST CROYDON,7,SUTTON (SURREY),CARSHALTON BEECHES,stop,1.02,17.2,3,1
DORKING - WEST CROYDON,8,CARSHALTON BEECHES,WALLINGTON,stop,0.97,17.2,2,0
DORKING - WEST CROYDON,9,WALLINGTON,WADDON,stop,1.8,17.2,3,0
DORKING - WEST CROYDON,10,WADDON,WEST CROYDON,stop,2.71,27.6,4,0
EPSOM - HORSHAM,1,EPSOM,ASHTEAD,stop,25.77,79.0,10,0
EPSOM - HORSHAM,2,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,11,0
EPSOM - HORSHAM,3,LEATHERHEAD,BOXHILL BURFORD BRIDGE HOTEL,stop,,,10,0
EPSOM - HORSHAM,4,BOXHILL BURFORD BRIDGE HOTEL,DORKING,stop,,,5,0
EPSOM - HORSHAM,5,DORKING,HOLMWOOD,stop,4.86,18.0,10,0
EPSOM - HORSHAM,6,HOLMWOOD,OCKLEY,stop,2.44,18.1,9,0
EPSOM - HORSHAM,7,OCKLEY,WARNHAM,stop,4.59,18.4,10,0
EPSOM - HORSHAM,8,WARNHAM,HORSHAM,stop,10.52,54.2,10,0
HORSHAM - BALHAM,1,HORSHAM,WARNHAM,stop,10.52,54.2,4,0
HORSHAM - BALHAM,2,WARNHAM,OCKLEY,stop,4.59,18.4,7,0
HORSHAM - BALHAM,3,OCKLEY,HOLMWOOD,stop,2.44,18.1,4,0
HORSHAM - BALHAM,4,HOLMWOOD,DORKING,stop,4.86,18.0,6,0
HORSHAM - BALHAM,5,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,1
HORSHAM - BALHAM,6,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,5,0
HORSHAM - BALHAM,7,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,4,0
HORSHAM - BALHAM,8,ASHTEAD,EPSOM,stop,25.77,79.0,6,1
HORSHAM - BALHAM,9,EPSOM,EWELL EAST,stop,1.65,42.6,4,1
HORSHAM - BALHAM,10,EWELL EAST,CHEAM,stop,1.54,17.2,3,0
HORSHAM - BALHAM,11,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0
HORSHAM - BALHAM,12,SUTTON (SURREY),CARSHALTON,stop,1.31,17.2,3,1
HORSHAM - BALHAM,13,CARSHALTON,HACKBRIDGE,stop,6.49,48.6,3,0
HORSHAM - BALHAM,14,HACKBRIDGE,MITCHAM JUNCTION,stop,7.56,48.5,3,0
HORSHAM - BALHAM,15,MITCHAM JUNCTION,MITCHAM EASTFIELDS,stop,1.19,17.0,3,0
HORSHAM - BALHAM,16,MITCHAM EASTFIELDS,BALHAM,stop,2.82,16.9,9,0
HORSHAM - MITCHAM EASTFIELDS,1,HORSHAM,WARNHAM,stop,10.52,54.2,4,0
HORSHAM - MITCHAM EASTFIELDS,2,WARNHAM,OCKLEY,stop,4.59,18.4,7,0
HORSHAM - MITCHAM EASTFIELDS,3,OCKLEY,HOLMWOOD,stop,2.44,18.1,4,0
HORSHAM - MITCHAM EASTFIELDS,4,HOLMWOOD,DORKING,stop,4.86,18.0,7,0
HORSHAM - MITCHAM EASTFIELDS,5,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,4,1
HORSHAM - MITCHAM EASTFIELDS,6,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0
HORSHAM - MITCHAM EASTFIELDS,7,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,4,0
HORSHAM - MITCHAM EASTFIELDS,8,ASHTEAD,EPSOM,stop,25.77,79.0,5,0
HORSHAM - MITCHAM EASTFIELDS,9,EPSOM,EWELL EAST,stop,1.65,42.6,5,0
