route_variant,date,departure_time,train_class,number_of_coaches
FARNHAM - GUILDFORD,2026-03-09,07:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,08:10:00,450,4
FARNHAM - GUILDFORD,2026-03-09,08:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,09:10:00,450,4
FARNHAM - GUILDFORD,2026-03-09,09:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,10:10:00,450,4
FARNHAM - GUILDFORD,2026-03-09,10:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,11:10:00,450,4
FARNHAM - GUILDFORD,2026-03-09,11:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,12:10:00,450,4
FARNHAM - GUILDFORD,2026-03-09,12:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,13:10:00,450,4
FARNHAM - GUILDFORD,2026-03-09,13:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,14:10:00,450,4
FARNHAM - GUILDFORD,2026-03-09,14:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,15:10:00,450,4
FARNHAM - GUILDFORD,2026-03-09,15:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,16:10:00,450,4
FARNHAM - GUILDFORD,2026-03-09,16:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,17:10:00,450,4
FARNHAM - GUILDFORD,2026-03-09,17:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,18:11:00,450,4
FARNHAM - GUILDFORD,2026-03-09,18:41:00,450,4
FARNHAM - GUILDFORD,2026-03-09,19:11:00,450,4
FARNHAM - GUILDFORD,2026-03-09,19:42:00,450,4
FARNHAM - GUILDFORD,2026-03-09,20:10:00,450,4
FARNHAM - GUILDFORD,2026-03-09,20:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,21:10:00,450,4
FARNHAM - GUILDFORD,2026-03-09,21:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,22:10:00,450,4
FARNHAM - GUILDFORD,2026-03-09,22:40:00,450,4
FARNHAM - GUILDFORD,2026-03-09,23:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,06:08:00,450,4
FARNHAM - GUILDFORD,2026-03-10,06:38:00,450,4
FARNHAM - GUILDFORD,2026-03-10,07:09:00,450,4
